Id,Спальни,Ванные комнаты,Этажи,Площадь дома,Площадь земли,Площадь подвалов,Площадь домов соседей,Площадь земли соседей,Вид,Состояние,Качество,Год постройки,Год ремонта,Дата продажи,Цена продажи
5979,3,1.5,1.0,177,905,65,155,905,0.0,4.0,fair,1968.0,0,07.2014,340.0
8785,3,1.0,1.5,120,593,0,151,593,0.0,3.0,fair,1930.0,0,01.2015,978.0
6630,3,2.75,1.0,160,2601,0,186,2601,0.0,4.0,fair,1958.0,0,05.2014,403.0
3641,4,4.0,1.0,249,557,121,179,557,0.0,3.0,fair,,2014,09.2014,962.0
425,3,2.5,1.0,142,790,46,172,790,0.0,5.0,fair,1996.0,0,04.2015,303.0
11598,4,3.5,2.0,387,906,0,424,906,0.0,3.0,good,2004.0,0,06.2014,1486.0
20347,2,1.0,1.5,106,161,12,126,161,0.0,3.0,fair,2007.0,0,05.2014,291.0
12232,2,1.0,1.5,98,309,27,169,309,,,,1932.0,0,07.2014,426.0
20663,4,2.5,2.0,211,332,0,191,332,0.0,3.0,fair,2014.0,0,08.2014,379.0
7995,4,2.75,1.0,145,819,46,199,819,3.0,3.0,fair,1979.0,0,08.2014,322.0
3995,3,1.75,1.0,125,705,0,137,705,0.0,3.0,fair,1993.0,0,12.2014,298.0
19903,3,2.5,2.0,160,280,0,160,280,0.0,3.0,fair,2011.0,0,07.2014,619.0
11003,3,1.0,1.0,197,719,98,94,719,0.0,4.0,fair,1967.0,0,05.2014,371.0
15226,3,1.75,1.0,183,980,62,232,980,0.0,4.0,fair,1973.0,0,02.2015,840.0
5943,2,1.0,1.0,76,344,0,163,344,0.0,5.0,fair,1968.0,0,11.2014,686.0
15707,3,2.5,2.0,228,2618,0,227,2618,0.0,3.0,fair,1990.0,0,10.2014,594.0
9291,3,2.5,2.0,157,666,0,131,666,0.0,4.0,fair,1992.0,0,07.2014,334.0
18631,4,3.25,2.5,265,446,14,265,446,0.0,5.0,fair,1905.0,0,08.2014,1641.0
15665,3,1.75,1.0,202,14285,0,264,14285,0.0,3.0,fair,1976.0,0,08.2014,724.0
14592,4,1.75,1.0,216,697,102,207,697,0.0,3.0,fair,1955.0,0,03.2015,507.0
17624,3,2.5,2.0,202,456,0,214,456,0.0,3.0,fair,2004.0,0,05.2014,408.0
8252,4,2.0,1.5,171,442,71,109,442,,,,1929.0,0,05.2015,536.0
9348,4,2.25,2.0,237,711,0,237,711,2.0,4.0,fair,1996.0,0,01.2015,576.0
11132,4,1.75,1.0,216,858,108,198,858,0.0,3.0,fair,1959.0,2014,08.2014,402.0
6712,4,1.75,1.5,135,826,25,135,826,,,,1962.0,0,06.2014,291.0
10794,2,2.0,1.0,143,661,54,173,661,0.0,3.0,fair,1949.0,0,08.2014,613.0
7156,3,1.0,1.0,72,329,0,117,329,0.0,2.0,fair,1920.0,0,12.2014,223.0
20433,3,2.5,2.0,147,108,53,156,108,0.0,3.0,fair,2008.0,0,05.2014,650.0
11049,4,1.0,1.5,159,10886,0,180,10886,0.0,4.0,fair,1942.0,0,09.2014,483.0
700,2,1.0,1.5,128,465,0,139,465,2.0,3.0,fair,1905.0,0,04.2015,985.0
1609,3,1.75,1.0,102,671,0,158,671,0.0,3.0,fair,1981.0,0,10.2014,284.0
12792,3,1.75,1.0,176,609,0,178,609,0.0,3.0,fair,1967.0,0,11.2014,613.0
4674,4,3.25,2.0,320,457,85,218,457,4.0,3.0,fair,2014.0,0,03.2015,1666.0
465,1,0.75,1.0,40,469,0,111,469,0.0,2.0,fair,1912.0,0,05.2014,99.0
4839,5,2.25,1.0,237,855,90,194,855,,,,1975.0,0,04.2015,562.0
8933,4,2.5,2.0,170,591,0,170,591,0.0,3.0,fair,1994.0,0,03.2015,351.0
19008,4,1.75,1.0,178,693,89,178,693,0.0,4.0,fair,1939.0,1964,11.2014,708.0
16170,3,3.25,1.0,292,3449,128,195,3449,0.0,3.0,fair,1984.0,0,03.2015,659.0
14299,3,2.5,1.0,188,616,72,143,616,,,,,0,08.2014,371.0
4994,4,2.75,2.0,269,539,0,269,539,0.0,3.0,fair,2007.0,0,03.2015,789.0
1589,2,1.0,1.0,107,756,0,121,756,0.0,3.0,fair,1954.0,0,03.2015,411.0
6410,3,1.75,1.0,154,3497,0,192,3497,0.0,4.0,fair,1991.0,0,07.2014,390.0
2775,3,1.0,1.0,101,792,0,111,792,0.0,3.0,fair,1967.0,0,05.2014,235.0
9699,2,1.5,2.0,98,87,8,137,87,0.0,3.0,fair,2007.0,0,12.2014,483.0
347,2,1.0,1.0,99,3032,0,126,3032,0.0,4.0,fair,1930.0,0,12.2014,396.0
689,3,1.0,1.0,139,1172,0,169,1172,0.0,3.0,fair,1967.0,0,02.2015,490.0
3190,4,1.0,1.0,136,427,63,145,427,2.0,3.0,fair,1946.0,0,11.2014,551.0
19592,4,1.75,1.5,124,808,0,115,808,0.0,3.0,fair,1958.0,0,05.2015,325.0
6685,3,1.0,1.0,87,780,0,88,780,,,,1958.0,0,09.2014,314.0
16199,3,2.25,1.0,227,855,0,255,855,,,,1950.0,0,01.2015,1592.0
10943,2,2.25,2.0,158,221,0,158,221,0.0,3.0,fair,2005.0,0,10.2014,585.0
17326,3,1.0,1.0,85,600,0,85,600,0.0,5.0,fair,1969.0,0,11.2014,235.0
11761,3,2.5,2.0,424,1637,71,219,1637,0.0,4.0,fair,1986.0,0,05.2014,861.0
5041,3,2.5,3.0,97,96,0,120,96,0.0,3.0,fair,2007.0,0,01.2015,545.0
19164,3,1.0,1.0,186,1477,93,164,1477,0.0,3.0,fair,1948.0,0,04.2015,302.0
20945,5,2.75,2.0,267,613,0,293,613,0.0,3.0,fair,2006.0,0,12.2014,904.0
3561,2,1.0,1.0,98,282,19,137,282,0.0,3.0,fair,,0,07.2014,594.0
4224,3,1.75,2.0,185,1706,0,184,1706,0.0,3.0,fair,1957.0,0,08.2014,336.0
9877,3,1.75,1.0,146,1424,46,116,1424,0.0,3.0,fair,1956.0,0,03.2015,459.0
6444,2,1.0,1.0,102,390,0,115,390,0.0,3.0,fair,1954.0,0,06.2014,425.0
21068,4,2.5,2.0,240,423,0,246,423,0.0,3.0,fair,2014.0,0,11.2014,496.0
14432,3,1.75,1.0,198,812,74,221,812,3.0,3.0,fair,1955.0,0,09.2014,447.0
4897,3,2.5,2.0,155,538,0,150,538,0.0,3.0,fair,1995.0,0,04.2015,384.0
7619,1,1.0,1.5,88,983,0,130,983,0.0,3.0,fair,1929.0,0,08.2014,467.0
7504,4,2.5,2.0,166,612,0,181,612,0.0,3.0,fair,2005.0,0,08.2014,491.0
13210,4,2.25,2.0,218,4290,0,222,4290,0.0,4.0,fair,1980.0,0,03.2015,786.0
11715,2,2.25,1.5,229,1574,49,210,1574,4.0,4.0,fair,1936.0,0,06.2014,1697.0
17643,3,1.75,1.5,125,372,0,175,372,0.0,4.0,fair,1925.0,0,04.2015,867.0
2645,4,3.0,2.0,325,1249,106,292,1249,0.0,3.0,fair,1977.0,0,08.2014,1108.0
4249,4,2.75,2.0,296,502,0,294,502,,,,2005.0,0,09.2014,894.0
10099,5,2.75,1.0,234,1496,88,256,1496,3.0,4.0,fair,1960.0,0,06.2014,1110.0
12118,3,1.75,1.0,93,768,0,113,768,0.0,3.0,fair,1969.0,0,04.2015,433.0
3192,4,2.0,1.0,160,596,80,119,596,0.0,4.0,fair,1950.0,0,09.2014,665.0
21306,3,2.5,3.0,168,147,0,145,147,0.0,3.0,fair,2014.0,0,02.2015,718.0
7832,3,2.0,1.0,121,2100,0,209,2100,0.0,3.0,fair,1998.0,0,03.2015,581.0
9035,5,2.75,1.0,305,1177,114,284,1177,,,,1981.0,0,03.2015,1195.0
19295,3,1.5,1.0,123,754,0,196,754,0.0,3.0,fair,1951.0,0,06.2014,805.0
8226,3,2.5,2.0,178,1138,0,178,1138,0.0,3.0,fair,1998.0,0,08.2014,471.0
6340,4,2.5,2.0,336,1486,0,241,1486,0.0,3.0,fair,1976.0,0,07.2014,594.0
766,4,2.25,1.0,231,916,111,219,916,0.0,4.0,fair,1961.0,0,03.2015,1020.0
14948,3,2.25,1.0,177,671,63,177,671,0.0,3.0,fair,1970.0,0,07.2014,545.0
17241,3,1.0,1.0,85,715,0,116,715,0.0,4.0,fair,1971.0,0,06.2014,371.0
10588,3,2.5,2.0,203,471,0,214,471,0.0,3.0,fair,,0,03.2015,470.0
7676,3,1.0,1.0,93,1855,0,127,1855,,,,1951.0,0,01.2015,898.0
422,3,2.5,2.0,209,1081,0,219,1081,0.0,3.0,fair,1988.0,0,12.2014,666.0
2261,2,0.5,1.0,110,720,55,128,720,0.0,4.0,fair,1945.0,0,10.2014,338.0
19456,3,2.25,2.0,197,911,0,197,911,0.0,3.0,fair,1994.0,0,04.2015,344.0
2381,3,2.25,2.0,144,334,0,156,334,0.0,3.0,fair,2012.0,0,04.2015,349.0
20581,3,2.5,2.0,130,313,0,130,313,0.0,3.0,fair,2013.0,0,10.2014,328.0
15914,2,1.0,1.0,99,472,0,84,472,0.0,5.0,fair,1942.0,0,02.2015,402.0
20721,4,2.5,2.0,244,584,0,244,584,0.0,3.0,fair,2006.0,0,04.2015,629.0
13455,6,1.5,1.5,168,449,71,121,449,0.0,4.0,fair,1905.0,0,12.2014,284.0
14166,5,3.5,2.0,303,5463,0,168,5463,0.0,4.0,fair,1969.0,0,06.2014,704.0
9018,5,2.5,1.0,289,1466,129,237,1466,0.0,3.0,fair,1974.0,0,08.2014,718.0
479,4,2.75,1.0,270,989,105,271,989,2.0,3.0,fair,1975.0,0,07.2014,731.0
14736,2,1.75,2.0,145,4064,0,93,4064,0.0,3.0,fair,1967.0,2000,09.2014,365.0
13812,3,2.5,2.0,192,775,0,189,775,0.0,3.0,fair,1997.0,0,06.2014,402.0
14503,5,3.0,1.0,317,892,143,222,892,0.0,4.0,fair,,0,05.2014,836.0
11741,3,2.0,1.0,134,690,0,167,690,0.0,4.0,fair,1965.0,0,12.2014,501.0
4209,4,2.5,2.0,299,489,0,299,489,0.0,3.0,fair,2003.0,0,12.2014,1022.0
5293,4,3.5,2.0,321,371,84,173,371,,,,2004.0,0,05.2014,1629.0
1782,2,1.0,1.0,78,1138,0,94,1138,0.0,3.0,fair,1994.0,0,08.2014,235.0
7574,3,2.25,1.0,239,4411,0,239,4411,0.0,3.0,fair,1979.0,0,05.2015,774.0
1607,3,2.25,2.0,262,1080,0,213,1080,0.0,3.0,fair,1986.0,0,07.2014,416.0
11962,4,1.0,1.5,130,872,0,149,872,0.0,4.0,fair,1948.0,0,09.2014,402.0
14633,3,1.0,1.0,96,279,19,170,279,0.0,3.0,fair,1924.0,0,07.2014,477.0
18872,4,2.25,2.0,199,818,0,191,818,0.0,4.0,fair,1963.0,0,01.2015,303.0
15015,4,2.25,1.0,173,1179,67,181,1179,0.0,3.0,fair,1978.0,0,12.2014,329.0
5987,4,2.5,2.0,200,632,0,177,632,0.0,4.0,fair,1991.0,0,05.2014,392.0
10217,4,2.0,1.0,210,1003,0,246,1003,0.0,3.0,fair,1978.0,0,02.2015,848.0
9260,3,2.5,1.0,124,931,0,234,931,,,,1976.0,0,08.2014,526.0
14826,2,1.0,1.0,63,446,0,150,446,0.0,3.0,fair,1917.0,0,09.2014,452.0
16455,2,1.0,1.0,78,669,0,96,669,0.0,4.0,fair,1907.0,0,12.2014,250.0
11684,4,2.5,2.0,295,502,0,242,502,0.0,3.0,fair,2001.0,0,01.2015,631.0
7487,3,2.5,2.0,225,18413,0,258,18413,0.0,3.0,fair,1997.0,0,03.2015,858.0
19206,4,2.75,1.0,268,634,124,177,634,0.0,3.0,fair,1973.0,0,06.2014,724.0
20468,4,3.5,2.0,359,608,0,349,608,0.0,3.0,fair,,0,12.2014,1115.0
12291,2,1.5,1.0,154,435,77,179,435,0.0,5.0,fair,1908.0,0,05.2014,455.0
2784,4,2.75,2.0,328,669,0,231,669,0.0,3.0,fair,2005.0,0,01.2015,421.0
14832,3,1.0,1.0,129,572,0,114,572,0.0,4.0,fair,1949.0,0,02.2015,490.0
8642,3,1.0,1.0,117,741,0,164,741,0.0,3.0,fair,1951.0,0,03.2015,470.0
9278,3,4.0,3.0,193,209,0,193,209,4.0,3.0,fair,1997.0,0,04.2015,966.0
8998,3,1.0,1.0,104,983,0,121,983,0.0,4.0,fair,1969.0,0,07.2014,396.0
21195,3,3.25,2.0,159,182,33,132,182,0.0,3.0,fair,2004.0,0,10.2014,551.0
6088,3,1.75,1.0,143,5706,0,352,5706,0.0,3.0,fair,1967.0,0,08.2014,557.0
3669,3,2.25,1.0,156,844,51,182,844,,,,1959.0,0,07.2014,594.0
5000,5,2.25,1.0,239,1213,102,239,1213,1.0,3.0,fair,1950.0,1992,07.2014,643.0
5932,2,1.0,1.0,78,418,0,121,418,0.0,3.0,fair,1939.0,0,05.2015,467.0
18110,3,1.75,2.0,98,753,0,131,753,0.0,4.0,fair,1983.0,0,04.2015,365.0
19506,4,2.5,2.0,243,931,0,243,931,0.0,3.0,fair,1996.0,0,10.2014,700.0
9224,3,1.75,1.0,139,684,0,178,684,0.0,3.0,fair,1974.0,0,02.2015,655.0
8817,4,2.0,1.0,137,956,0,136,956,0.0,4.0,fair,1963.0,0,02.2015,576.0
1232,4,2.5,2.0,235,943,0,216,943,,,,1998.0,0,04.2015,433.0
5496,2,1.75,1.0,164,409,82,124,409,0.0,4.0,fair,1930.0,0,06.2014,792.0
16308,3,2.0,1.0,115,1141,58,145,1141,,,,1939.0,1991,02.2015,307.0
5021,2,1.0,1.0,88,494,0,151,494,2.0,3.0,fair,,0,06.2014,396.0
13260,3,2.5,3.0,178,176,0,155,176,3.0,3.0,fair,2000.0,0,03.2015,967.0
18695,4,1.0,1.5,137,348,0,146,348,0.0,4.0,fair,1912.0,0,03.2015,954.0
3555,4,3.0,1.0,204,1003,0,133,1003,0.0,3.0,fair,1960.0,0,07.2014,371.0
3262,3,1.0,1.0,130,656,0,130,656,0.0,3.0,fair,1957.0,0,05.2014,433.0
15313,4,2.5,2.0,221,870,0,203,870,0.0,3.0,fair,2000.0,0,07.2014,421.0
16463,2,1.0,1.0,87,396,0,151,396,0.0,5.0,fair,1949.0,0,03.2015,515.0
11456,3,2.0,1.0,144,771,0,173,771,0.0,4.0,fair,1965.0,0,11.2014,371.0
16315,3,2.5,2.0,157,960,0,147,960,0.0,4.0,fair,1989.0,0,02.2015,330.0
17264,3,1.75,1.0,144,903,46,144,903,0.0,3.0,fair,1976.0,0,07.2014,315.0
19032,4,2.5,1.0,292,2053,123,251,2053,0.0,4.0,fair,1960.0,0,10.2014,384.0
4288,3,1.5,2.0,119,406,0,119,406,0.0,4.0,fair,1985.0,0,07.2014,226.0
10119,3,2.5,2.0,160,178,0,164,178,0.0,3.0,fair,2005.0,0,05.2014,346.0
9009,4,1.75,1.0,190,1394,63,215,1394,0.0,4.0,fair,1967.0,0,09.2014,439.0
15864,2,1.0,1.0,75,789,0,98,789,0.0,3.0,fair,1949.0,0,09.2014,294.0
8025,4,1.75,1.0,134,754,0,180,754,0.0,4.0,fair,1963.0,0,12.2014,400.0
17122,5,4.0,2.0,346,1412,0,381,1412,0.0,3.0,fair,2005.0,0,05.2014,1189.0
15281,3,2.5,2.0,219,752,0,173,752,0.0,3.0,fair,1995.0,0,12.2014,421.0
8357,2,1.75,1.0,181,762,0,220,762,0.0,3.0,fair,1975.0,0,03.2015,315.0
2213,4,1.0,1.5,133,580,0,131,580,,,,1953.0,0,04.2015,493.0
17418,1,1.0,1.0,51,530,0,102,530,0.0,2.0,fair,1916.0,0,11.2014,359.0
20885,2,2.25,3.0,143,90,0,131,90,0.0,3.0,fair,2007.0,0,07.2014,792.0
11776,3,1.5,1.0,127,691,0,218,691,0.0,4.0,fair,,0,01.2015,294.0
8275,3,1.0,1.0,80,969,0,106,969,0.0,3.0,fair,1954.0,0,04.2015,272.0
13328,4,2.5,2.0,204,547,0,204,547,0.0,3.0,fair,2008.0,0,03.2015,346.0
2763,3,2.5,1.5,185,375,56,110,375,0.0,5.0,fair,1926.0,0,07.2014,717.0
4862,3,2.5,2.0,175,633,0,183,633,0.0,3.0,fair,1993.0,0,09.2014,402.0
16479,3,1.75,1.0,115,1288,0,183,1288,0.0,4.0,fair,1957.0,0,10.2014,836.0
4258,5,2.25,1.0,183,1416,48,121,1416,0.0,3.0,fair,1986.0,0,06.2014,538.0
20119,3,3.25,2.0,156,137,30,142,137,0.0,3.0,fair,2009.0,0,10.2014,494.0
16767,3,2.0,1.0,191,375,87,139,375,0.0,4.0,fair,1947.0,0,06.2014,749.0
12774,4,2.5,2.0,190,838,0,165,838,0.0,4.0,fair,1973.0,0,01.2015,359.0
16704,4,2.5,2.0,196,348,0,158,348,,,,2000.0,0,05.2014,956.0
4260,3,2.0,1.0,147,373,73,125,373,0.0,4.0,fair,1909.0,0,11.2014,607.0
361,5,2.5,2.0,256,1054,0,229,1054,0.0,4.0,fair,,0,08.2014,470.0
16980,3,2.25,2.0,125,264,0,153,264,0.0,3.0,fair,2003.0,0,09.2014,496.0
15203,3,2.5,1.0,164,878,0,204,878,0.0,3.0,fair,1988.0,0,05.2015,359.0
15871,3,1.0,1.0,106,818,0,118,818,0.0,3.0,fair,1972.0,0,05.2014,213.0
16290,4,2.0,1.5,111,732,0,137,732,0.0,5.0,fair,1946.0,0,12.2014,407.0
3271,4,2.5,2.0,427,6259,0,427,6259,0.0,3.0,fair,1990.0,0,12.2014,991.0
177,3,1.0,1.0,113,446,0,111,446,0.0,3.0,fair,1901.0,0,05.2014,477.0
1345,3,1.5,2.0,111,83,16,114,83,0.0,3.0,fair,,0,07.2014,576.0
19416,3,1.0,1.0,104,775,0,111,775,0.0,4.0,fair,1976.0,0,03.2015,253.0
19904,3,2.25,3.0,164,106,0,125,106,0.0,3.0,fair,2014.0,0,05.2014,761.0
8843,2,2.5,2.0,127,106,27,124,106,0.0,3.0,fair,2009.0,0,08.2014,439.0
6353,4,1.75,1.0,150,897,0,113,897,0.0,5.0,fair,1969.0,0,07.2014,266.0
16774,3,1.0,1.5,109,311,0,148,311,0.0,4.0,fair,1924.0,0,11.2014,566.0
18811,2,1.0,1.0,77,743,0,121,743,0.0,3.0,fair,1954.0,0,08.2014,247.0
1346,4,1.75,1.0,218,1747,0,283,1747,2.0,3.0,fair,1959.0,0,11.2014,768.0
20746,3,2.5,2.0,225,571,0,221,571,0.0,3.0,fair,2014.0,0,04.2015,485.0
12006,3,2.25,2.0,123,167,22,157,167,0.0,3.0,fair,2005.0,0,07.2014,433.0
5870,3,1.0,2.0,106,390,0,140,390,0.0,4.0,fair,1904.0,0,06.2014,427.0
20867,3,2.25,2.0,125,333,0,180,333,0.0,3.0,fair,2010.0,0,02.2015,370.0
690,3,1.75,1.0,170,1095,37,199,1095,1.0,3.0,fair,1958.0,0,08.2014,462.0
10420,3,2.25,2.0,320,4122,116,322,4122,3.0,4.0,fair,1979.0,0,11.2014,916.0
3120,3,1.5,1.0,123,409,0,125,409,0.0,3.0,fair,1909.0,0,08.2014,433.0
19102,4,2.25,2.0,320,3254,0,298,3254,0.0,3.0,fair,1988.0,0,03.2015,1056.0
2241,5,1.0,1.5,187,484,11,216,484,0.0,3.0,fair,1927.0,0,05.2015,1239.0
21138,4,2.5,2.0,262,619,0,175,619,0.0,3.0,fair,2007.0,0,12.2014,493.0
7005,4,1.75,1.0,195,1109,99,109,1109,0.0,3.0,fair,1964.0,0,07.2014,455.0
897,3,2.5,2.0,249,2624,0,248,2624,0.0,3.0,fair,1993.0,0,08.2014,817.0
8634,2,1.5,1.0,217,1243,98,138,1243,0.0,4.0,fair,1954.0,0,04.2015,675.0
3850,3,1.5,1.5,142,697,0,193,697,0.0,3.0,fair,1986.0,0,10.2014,328.0
11957,2,1.5,2.0,143,608,0,137,608,0.0,3.0,fair,1980.0,0,01.2015,618.0
17455,4,2.25,1.0,196,1505,45,220,1505,0.0,3.0,fair,1978.0,0,01.2015,607.0
2754,5,3.5,2.0,291,446,52,320,446,0.0,3.0,fair,2014.0,0,06.2014,1073.0
8913,3,1.0,1.0,98,689,0,203,689,2.0,4.0,fair,1906.0,0,02.2015,458.0
14911,4,2.5,1.0,207,5986,93,207,5986,0.0,4.0,fair,1978.0,0,07.2014,576.0
2403,3,1.0,1.0,112,880,0,158,880,0.0,5.0,fair,1955.0,0,09.2014,561.0
14233,4,3.25,2.0,277,334,77,277,334,0.0,3.0,fair,1999.0,0,07.2014,2013.0
17426,4,2.5,2.0,295,1427,0,281,1427,0.0,3.0,fair,1988.0,0,10.2014,960.0
3967,4,2.5,2.0,241,535,0,243,535,,,,2001.0,0,07.2014,713.0
7982,2,1.0,1.0,85,465,0,98,465,0.0,3.0,fair,1924.0,0,09.2014,644.0
21379,3,2.5,2.0,167,104,0,167,104,0.0,3.0,fair,2011.0,0,04.2015,484.0
19681,4,3.25,2.0,386,960,0,171,960,0.0,3.0,fair,2014.0,0,05.2015,2292.0
20619,4,3.25,2.0,346,628,0,288,628,0.0,3.0,fair,2012.0,0,03.2015,1183.0
15800,2,1.0,1.0,151,713,74,116,713,0.0,3.0,fair,1947.0,0,11.2014,527.0
8959,5,2.0,1.0,179,906,85,190,906,0.0,4.0,fair,1962.0,0,05.2014,495.0
16383,3,1.75,1.0,166,1407,40,177,1407,0.0,3.0,fair,1976.0,0,02.2015,514.0
13810,4,1.75,1.0,207,894,98,214,894,4.0,3.0,fair,1955.0,0,12.2014,514.0
8200,4,1.0,1.0,178,1281,65,138,1281,0.0,4.0,fair,,0,06.2014,210.0
4704,4,1.75,1.0,192,847,76,153,847,0.0,4.0,fair,1958.0,0,04.2015,532.0
17955,2,1.75,1.0,123,318,22,192,318,1.0,3.0,fair,1955.0,0,10.2014,588.0
20692,3,2.5,3.0,149,285,0,105,285,0.0,3.0,fair,2009.0,0,04.2015,621.0
13494,3,2.5,2.0,282,3221,0,323,3221,0.0,4.0,fair,1983.0,0,12.2014,978.0
10050,4,2.25,2.0,312,1004,0,241,1004,0.0,4.0,fair,1988.0,0,08.2014,576.0
11545,3,3.5,2.0,193,474,0,193,474,0.0,3.0,fair,2004.0,0,07.2014,442.0
15573,4,1.75,1.0,149,687,36,152,687,0.0,3.0,fair,1973.0,0,04.2015,650.0
21074,3,2.5,3.0,142,105,0,142,105,0.0,3.0,fair,2009.0,0,12.2014,464.0
20971,4,2.75,2.0,219,457,0,219,457,0.0,3.0,fair,2008.0,0,06.2014,650.0
11736,3,2.75,2.0,172,819,0,172,819,0.0,4.0,fair,1993.0,0,07.2014,375.0
13517,4,2.5,2.0,273,713,0,290,713,0.0,3.0,fair,2004.0,0,07.2014,1046.0
12485,3,1.0,1.0,185,1428,79,108,1428,0.0,3.0,fair,1946.0,0,10.2014,290.0
11921,1,1.0,1.0,77,297,0,125,297,0.0,3.0,fair,1924.0,0,11.2014,650.0
1484,3,0.75,1.0,85,1896,0,108,1896,2.0,5.0,fair,1950.0,0,12.2014,656.0
9100,4,1.5,1.0,137,543,61,120,543,0.0,4.0,fair,1973.0,0,05.2015,527.0
102,3,2.25,2.0,203,9996,0,239,9996,0.0,4.0,fair,1983.0,0,12.2014,867.0
6227,4,1.5,1.0,126,866,0,110,866,0.0,4.0,fair,1968.0,0,07.2014,319.0
13665,4,1.5,1.5,167,943,0,151,943,0.0,4.0,fair,1958.0,0,05.2015,557.0
17544,4,1.5,2.0,143,733,0,144,733,0.0,3.0,fair,1967.0,0,07.2014,514.0
4492,4,2.25,1.0,181,557,56,184,557,0.0,3.0,fair,1961.0,0,03.2015,699.0
4728,4,1.75,1.0,160,931,0,113,931,0.0,5.0,fair,,0,05.2014,307.0
17354,3,2.75,2.0,313,1294,67,200,1294,0.0,3.0,fair,1986.0,0,05.2015,526.0
17754,3,1.0,1.0,118,818,0,145,818,0.0,3.0,fair,1968.0,0,09.2014,553.0
8692,6,2.75,2.0,412,598,163,328,598,3.0,3.0,fair,1964.0,2015,05.2015,1839.0
11668,2,2.5,2.0,98,96,9,125,96,0.0,3.0,fair,2007.0,0,07.2014,412.0
2245,2,1.0,1.0,117,407,0,132,407,0.0,4.0,fair,1947.0,0,06.2014,501.0
21355,4,2.5,2.0,332,562,0,334,562,0.0,3.0,fair,2014.0,0,09.2014,1151.0
4213,3,2.5,2.0,161,457,0,150,457,0.0,3.0,fair,1996.0,0,09.2014,595.0
16650,2,2.5,2.0,109,127,40,159,127,0.0,3.0,fair,2005.0,0,06.2014,423.0
16541,3,2.0,2.0,190,639,0,159,639,0.0,4.0,fair,1954.0,0,02.2015,538.0
12671,2,1.75,1.5,129,467,0,201,467,0.0,4.0,fair,1928.0,0,02.2015,850.0
