    0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63
10: 0  0  1  1  0  0  1  1  1  1  0  0  1  1  0  0  0  0  1  1  0  0  1  1  1  1  0  0  1  1  0  0  0  0  1  1  0  0  1  1  1  1  0  0  1  1  0  0  0  0  1  1  0  0  1  1  1  1  0  0  1  1  0  0  
11: 0  1  1  0  0  1  1  0  1  0  0  1  1  0  0  1  0  1  1  0  0  1  1  0  1  0  0  1  1  0  0  1  0  1  1  0  0  1  1  0  1  0  0  1  1  0  0  1  0  1  1  0  0  1  1  0  1  0  0  1  1  0  0  1  
12: 0  0  0  0  1  1  1  1  1  1  1  1  0  0  0  0  0  0  0  0  1  1  1  1  1  1  1  1  0  0  0  0  0  0  0  0  1  1  1  1  1  1  1  1  0  0  0  0  0  0  0  0  1  1  1  1  1  1  1  1  0  0  0  0  
13: 0  1  0  1  1  0  1  0  1  0  1  0  0  1  0  1  0  1  0  1  1  0  1  0  1  0  1  0  0  1  0  1  0  1  0  1  1  0  1  0  1  0  1  0  0  1  0  1  0  1  0  1  1  0  1  0  1  0  1  0  0  1  0  1  
14: 0  0  1  1  1  1  0  0  1  1  0  0  0  0  1  1  0  0  1  1  1  1  0  0  1  1  0  0  0  0  1  1  0  0  1  1  1  1  0  0  1  1  0  0  0  0  1  1  0  0  1  1  1  1  0  0  1  1  0  0  0  0  1  1  
15: 0  1  1  0  1  0  0  1  1  0  0  1  0  1  1  0  0  1  1  0  1  0  0  1  1  0  0  1  0  1  1  0  0  1  1  0  1  0  0  1  1  0  0  1  0  1  1  0  0  1  1  0  1  0  0  1  1  0  0  1  0  1  1  0  
16: 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  
17: 0  1  0  1  0  1  0  1  0  1  0  1  0  1  0  1  1  0  1  0  1  0  1  0  1  0  1  0  1  0  1  0  0  1  0  1  0  1  0  1  0  1  0  1  0  1  0  1  1  0  1  0  1  0  1  0  1  0  1  0  1  0  1  0  
18: 0  0  1  1  0  0  1  1  0  0  1  1  0  0  1  1  1  1  0  0  1  1  0  0  1  1  0  0  1  1  0  0  0  0  1  1  0  0  1  1  0  0  1  1  0  0  1  1  1  1  0  0  1  1  0  0  1  1  0  0  1  1  0  0  
19: 0  1  1  0  0  1  1  0  0  1  1  0  0  1  1  0  1  0  0  1  1  0  0  1  1  0  0  1  1  0  0  1  0  1  1  0  0  1  1  0  0  1  1  0  0  1  1  0  1  0  0  1  1  0  0  1  1  0  0  1  1  0  0  1  
20: 0  0  0  0  1  1  1  1  0  0  0  0  1  1  1  1  1  1  1  1  0  0  0  0  1  1  1  1  0  0  0  0  0  0  0  0  1  1  1  1  0  0  0  0  1  1  1  1  1  1  1  1  0  0  0  0  1  1  1  1  0  0  0  0  
21: 0  1  0  1  1  0  1  0  0  1  0  1  1  0  1  0  1  0  1  0  0  1  0  1  1  0  1  0  0  1  0  1  0  1  0  1  1  0  1  0  0  1  0  1  1  0  1  0  1  0  1  0  0  1  0  1  1  0  1  0  0  1  0  1  
22: 0  0  1  1  1  1  0  0  0  0  1  1  1  1  0  0  1  1  0  0  0  0  1  1  1  1  0  0  0  0  1  1  0  0  1  1  1  1  0  0  0  0  1  1  1  1  0  0  1  1  0  0  0  0  1  1  1  1  0  0  0  0  1  1  
23: 0  1  1  0  1  0  0  1  0  1  1  0  1  0  0  1  1  0  0  1  0  1  1  0  1  0  0  1  0  1  1  0  0  1  1  0  1  0  0  1  0  1  1  0  1  0  0  1  1  0  0  1  0  1  1  0  1  0  0  1  0  1  1  0  
24: 0  0  0  0  0  0  0  0  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  0  0  0  0  0  0  0  0  
25: 0  1  0  1  0  1  0  1  1  0  1  0  1  0  1  0  1  0  1  0  1  0  1  0  0  1  0  1  0  1  0  1  0  1  0  1  0  1  0  1  1  0  1  0  1  0  1  0  1  0  1  0  1  0  1  0  0  1  0  1  0  1  0  1  
26: 0  0  1  1  0  0  1  1  1  1  0  0  1  1  0  0  1  1  0  0  1  1  0  0  0  0  1  1  0  0  1  1  0  0  1  1  0  0  1  1  1  1  0  0  1  1  0  0  1  1  0  0  1  1  0  0  0  0  1  1  0  0  1  1  
27: 0  1  1  0  0  1  1  0  1  0  0  1  1  0  0  1  1  0  0  1  1  0  0  1  0  1  1  0  0  1  1  0  0  1  1  0  0  1  1  0  1  0  0  1  1  0  0  1  1  0  0  1  1  0  0  1  0  1  1  0  0  1  1  0  
28: 0  0  0  0  1  1  1  1  1  1  1  1  0  0  0  0  1  1  1  1  0  0  0  0  0  0  0  0  1  1  1  1  0  0  0  0  1  1  1  1  1  1  1  1  0  0  0  0  1  1  1  1  0  0  0  0  0  0  0  0  1  1  1  1  
29: 0  1  0  1  1  0  1  0  1  0  1  0  0  1  0  1  1  0  1  0  0  1  0  1  0  1  0  1  1  0  1  0  0  1  0  1  1  0  1  0  1  0  1  0  0  1  0  1  1  0  1  0  0  1  0  1  0  1  0  1  1  0  1  0  
30: 0  0  1  1  1  1  0  0  1  1  0  0  0  0  1  1  1  1  0  0  0  0  1  1  0  0  1  1  1  1  0  0  0  0  1  1  1  1  0  0  1  1  0  0  0  0  1  1  1  1  0  0  0  0  1  1  0  0  1  1  1  1  0  0  
31: 0  1  1  0  1  0  0  1  1  0  0  1  0  1  1  0  1  0  0  1  0  1  1  0  0  1  1  0  1  0  0  1  0  1  1  0  1  0  0  1  1  0  0  1  0  1  1  0  1  0  0  1  0  1  1  0  0  1  1  0  1  0  0  1  
32: 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  
33: 0  1  0  1  0  1  0  1  0  1  0  1  0  1  0  1  0  1  0  1  0  1  0  1  0  1  0  1  0  1  0  1  1  0  1  0  1  0  1  0  1  0  1  0  1  0  1  0  1  0  1  0  1  0  1  0  1  0  1  0  1  0  1  0  
34: 0  0  1  1  0  0  1  1  0  0  1  1  0  0  1  1  0  0  1  1  0  0  1  1  0  0  1  1  0  0  1  1  1  1  0  0  1  1  0  0  1  1  0  0  1  1  0  0  1  1  0  0  1  1  0  0  1  1  0  0  1  1  0  0  
35: 0  1  1  0  0  1  1  0  0  1  1  0  0  1  1  0  0  1  1  0  0  1  1  0  0  1  1  0  0  1  1  0  1  0  0  1  1  0  0  1  1  0  0  1  1  0  0  1  1  0  0  1  1  0  0  1  1  0  0  1  1  0  0  1  
36: 0  0  0  0  1  1  1  1  0  0  0  0  1  1  1  1  0  0  0  0  1  1  1  1  0  0  0  0  1  1  1  1  1  1  1  1  0  0  0  0  1  1  1  1  0  0  0  0  1  1  1  1  0  0  0  0  1  1  1  1  0  0  0  0  
37: 0  1  0  1  1  0  1  0  0  1  0  1  1  0  1  0  0  1  0  1  1  0  1  0  0  1  0  1  1  0  1  0  1  0  1  0  0  1  0  1  1  0  1  0  0  1  0  1  1  0  1  0  0  1  0  1  1  0  1  0  0  1  0  1  
38: 0  0  1  1  1  1  0  0  0  0  1  1  1  1  0  0  0  0  1  1  1  1  0  0  0  0  1  1  1  1  0  0  1  1  0  0  0  0  1  1  1  1  0  0  0  0  1  1  1  1  0  0  0  0  1  1  1  1  0  0  0  0  1  1  
39: 0  1  1  0  1  0  0  1  0  1  1  0  1  0  0  1  0  1  1  0  1  0  0  1  0  1  1  0  1  0  0  1  1  0  0  1  0  1  1  0  1  0  0  1  0  1  1  0  1  0  0  1  0  1  1  0  1  0  0  1  0  1  1  0  
40: 0  0  0  0  0  0  0  0  1  1  1  1  1  1  1  1  0  0  0  0  0  0  0  0  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  0  0  0  0  0  0  0  0  1  1  1  1  1  1  1  1  0  0  0  0  0  0  0  0  
41: 0  1  0  1  0  1  0  1  1  0  1  0  1  0  1  0  0  1  0  1  0  1  0  1  1  0  1  0  1  0  1  0  1  0  1  0  1  0  1  0  0  1  0  1  0  1  0  1  1  0  1  0  1  0  1  0  0  1  0  1  0  1  0  1  
42: 0  0  1  1  0  0  1  1  1  1  0  0  1  1  0  0  0  0  1  1  0  0  1  1  1  1  0  0  1  1  0  0  1  1  0  0  1  1  0  0  0  0  1  1  0  0  1  1  1  1  0  0  1  1  0  0  0  0  1  1  0  0  1  1  
43: 0  1  1  0  0  1  1  0  1  0  0  1  1  0  0  1  0  1  1  0  0  1  1  0  1  0  0  1  1  0  0  1  1  0  0  1  1  0  0  1  0  1  1  0  0  1  1  0  1  0  0  1  1  0  0  1  0  1  1  0  0  1  1  0  
44: 0  0  0  0  1  1  1  1  1  1  1  1  0  0  0  0  0  0  0  0  1  1  1  1  1  1  1  1  0  0  0  0  1  1  1  1  0  0  0  0  0  0  0  0  1  1  1  1  1  1  1  1  0  0  0  0  0  0  0  0  1  1  1  1  
45: 0  1  0  1  1  0  1  0  1  0  1  0  0  1  0  1  0  1  0  1  1  0  1  0  1  0  1  0  0  1  0  1  1  0  1  0  0  1  0  1  0  1  0  1  1  0  1  0  1  0  1  0  0  1  0  1  0  1  0  1  1  0  1  0  
46: 0  0  1  1  1  1  0  0  1  1  0  0  0  0  1  1  0  0  1  1  1  1  0  0  1  1  0  0  0  0  1  1  1  1  0  0  0  0  1  1  0  0  1  1  1  1  0  0  1  1  0  0  0  0  1  1  0  0  1  1  1  1  0  0  
47: 0  1  1  0  1  0  0  1  1  0  0  1  0  1  1  0  0  1  1  0  1  0  0  1  1  0  0  1  0  1  1  0  1  0  0  1  0  1  1  0  0  1  1  0  1  0  0  1  1  0  0  1  0  1  1  0  0  1  1  0  1  0  0  1  
48: 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
49: 0  1  0  1  0  1  0  1  0  1  0  1  0  1  0  1  1  0  1  0  1  0  1  0  1  0  1  0  1  0  1  0  1  0  1  0  1  0  1  0  1  0  1  0  1  0  1  0  0  1  0  1  0  1  0  1  0  1  0  1  0  1  0  1  
50: 0  0  1  1  0  0  1  1  0  0  1  1  0  0  1  1  1  1  0  0  1  1  0  0  1  1  0  0  1  1  0  0  1  1  0  0  1  1  0  0  1  1  0  0  1  1  0  0  0  0  1  1  0  0  1  1  0  0  1  1  0  0  1  1  
51: 0  1  1  0  0  1  1  0  0  1  1  0  0  1  1  0  1  0  0  1  1  0  0  1  1  0  0  1  1  0  0  1  1  0  0  1  1  0  0  1  1  0  0  1  1  0  0  1  0  1  1  0  0  1  1  0  0  1  1  0  0  1  1  0  
52: 0  0  0  0  1  1  1  1  0  0  0  0  1  1  1  1  1  1  1  1  0  0  0  0  1  1  1  1  0  0  0  0  1  1  1  1  0  0  0  0  1  1  1  1  0  0  0  0  0  0  0  0  1  1  1  1  0  0  0  0  1  1  1  1  
53: 0  1  0  1  1  0  1  0  0  1  0  1  1  0  1  0  1  0  1  0  0  1  0  1  1  0  1  0  0  1  0  1  1  0  1  0  0  1  0  1  1  0  1  0  0  1  0  1  0  1  0  1  1  0  1  0  0  1  0  1  1  0  1  0  
54: 0  0  1  1  1  1  0  0  0  0  1  1  1  1  0  0  1  1  0  0  0  0  1  1  1  1  0  0  0  0  1  1  1  1  0  0  0  0  1  1  1  1  0  0  0  0  1  1  0  0  1  1  1  1  0  0  0  0  1  1  1  1  0  0  
55: 0  1  1  0  1  0  0  1  0  1  1  0  1  0  0  1  1  0  0  1  0  1  1  0  1  0  0  1  0  1  1  0  1  0  0  1  0  1  1  0  1  0  0  1  0  1  1  0  0  1  1  0  1  0  0  1  0  1  1  0  1  0  0  1  
56: 0  0  0  0  0  0  0  0  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  0  0  0  0  0  0  0  0  1  1  1  1  1  1  1  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  1  1  1  1  1  1  1  
57: 0  1  0  1  0  1  0  1  1  0  1  0  1  0  1  0  1  0  1  0  1  0  1  0  0  1  0  1  0  1  0  1  1  0  1  0  1  0  1  0  0  1  0  1  0  1  0  1  0  1  0  1  0  1  0  1  1  0  1  0  1  0  1  0  
58: 0  0  1  1  0  0  1  1  1  1  0  0  1  1  0  0  1  1  0  0  1  1  0  0  0  0  1  1  0  0  1  1  1  1  0  0  1  1  0  0  0  0  1  1  0  0  1  1  0  0  1  1  0  0  1  1  1  1  0  0  1  1  0  0  
59: 0  1  1  0  0  1  1  0  1  0  0  1  1  0  0  1  1  0  0  1  1  0  0  1  0  1  1  0  0  1  1  0  1  0  0  1  1  0  0  1  0  1  1  0  0  1  1  0  0  1  1  0  0  1  1  0  1  0  0  1  1  0  0  1  
60: 0  0  0  0  1  1  1  1  1  1  1  1  0  0  0  0  1  1  1  1  0  0  0  0  0  0  0  0  1  1  1  1  1  1  1  1  0  0  0  0  0  0  0  0  1  1  1  1  0  0  0  0  1  1  1  1  1  1  1  1  0  0  0  0  
61: 0  1  0  1  1  0  1  0  1  0  1  0  0  1  0  1  1  0  1  0  0  1  0  1  0  1  0  1  1  0  1  0  1  0  1  0  0  1  0  1  0  1  0  1  1  0  1  0  0  1  0  1  1  0  1  0  1  0  1  0  0  1  0  1  
62: 0  0  1  1  1  1  0  0  1  1  0  0  0  0  1  1  1  1  0  0  0  0  1  1  0  0  1  1  1  1  0  0  1  1  0  0  0  0  1  1  0  0  1  1  1  1  0  0  0  0  1  1  1  1  0  0  1  1  0  0  0  0  1  1  
63: 0  1  1  0  1  0  0  1  1  0  0  1  0  1  1  0  1  0  0  1  0  1  1  0  0  1  1  0  1  0  0  1  1  0  0  1  0  1  1  0  0  1  1  0  1  0  0  1  0  1  1  0  1  0  0  1  1  0  0  1  0  1  1  0  
